# Plummer Sphere Model Random Initial Conditions - 10000 particles 
# 
#              position_x           position_y           position_z           velocity_x           velocity_y           velocity_z              masses    
            -5.81178508e-01       5.27346687e-01      -1.93838649e-01      -1.17565535e+01       8.06889940e+01      -1.39567542e+01        9.42866034e-05
             6.01260708e-01      -2.50946670e-01       1.84785655e-01       3.11090885e+01      -1.16714856e+02      -2.10212813e+01        9.42866034e-05
             2.84158299e-01       4.12884698e-01       8.08543297e-01      -1.54004723e+02      -5.81352272e+01       2.72872517e+01        9.42866034e-05
             6.75705402e-01      -1.85016658e+00       1.35373114e+00       8.27151100e+00       6.63885432e+01      -8.13519191e+01        9.42866034e-05
             5.01452366e-01       2.87796607e-02       3.45881985e-01      -6.87961862e+01       1.15625077e+02       8.22326685e+01        9.42866034e-05
             2.72398441e-01      -1.45643282e-01       9.01686255e-01       5.91340023e+01      -1.18071531e+01       3.41439824e+00        9.42866034e-05
             3.65510915e-01       4.72451642e-01       2.48943497e-01      -2.84360434e+01       2.39300347e+00      -1.09961528e+02        9.42866034e-05
            -4.63966060e-01       2.30002262e-01       6.36109463e-01      -1.47538487e+02       4.19277686e+01       9.09266899e+01        9.42866034e-05
            -1.76908727e+00      -1.58829403e-01      -3.72356871e-01      -2.58137102e+01       5.02793457e+01       3.01797548e+01        9.42866034e-05
            -8.79946643e-01       8.41484892e-01       2.63822650e-01       1.36241751e+02      -4.23872185e+00       2.77446512e+01        9.42866034e-05
             1.27987789e-01       9.99047757e-01       3.80987350e-01      -2.85744265e+01       1.12105518e+01      -5.37306626e+01        9.42866034e-05
            -3.18138077e+00      -1.87413492e+00       2.08094146e+00      -1.24185633e+01       4.20669842e+00      -3.68374779e+01        9.42866034e-05
             4.37001518e-01       9.19158135e-01      -2.04056652e+00       1.42360568e+01       8.80318949e+00       5.00012732e+01        9.42866034e-05
            -1.76980450e+00       6.78612752e-01       1.34784203e+00      -2.31834162e+01       7.48402426e+00      -1.15269502e+00        9.42866034e-05
             5.15809312e-01      -4.10573808e-01      -2.56956782e-01      -8.77188937e+01       8.71537023e+01      -1.59242357e+01        9.42866034e-05
             4.17249572e-01      -6.64425804e-01      -5.37933559e-01       6.71124659e-02      -1.83796455e+02       4.30967039e+01        9.42866034e-05
            -9.76236567e-01      -1.10767612e+00      -1.47647296e-01      -2.99672755e+00      -1.37814085e+01       4.15469373e+01        9.42866034e-05
             1.41661846e+00      -6.06260801e-01       7.75384010e-01      -3.44922605e+01       8.14847429e+01       9.78484896e-01        9.42866034e-05
             2.17471193e+00       1.12870318e+00       1.33713058e+00      -6.19726791e+01      -1.00866698e+02       1.16541636e+01        9.42866034e-05
             2.16588925e-01      -1.23319723e-01      -5.04189996e-01      -2.83942279e+01      -3.88309894e+01       1.46626466e+02        9.42866034e-05
            -5.88549932e-01      -1.61272757e-01       1.09489143e+00       6.01490767e+01       4.76842369e+01      -1.54994578e+02        9.42866034e-05
            -1.60751071e+00       5.63792307e-01      -4.12224344e-01       7.36015882e+00       2.50003916e+01       5.21100861e+01        9.42866034e-05
             3.36449157e-01      -8.73866670e-01       3.16325256e-02      -6.31985114e+01      -9.23805466e+01      -9.40599038e+00        9.42866034e-05
            -2.36640464e-01      -6.78553808e-01      -5.01502831e-01       1.55250553e+01      -1.09234746e+00       6.65391639e+01        9.42866034e-05
            -7.67384729e-01       4.82551159e-01      -1.57157134e+00       7.62686186e+00      -4.73270339e+00      -7.07806972e+01        9.42866034e-05
            -1.22174424e-01      -7.59184855e-01       4.94578109e-01      -3.17565841e+01       3.23992837e+00      -2.07807842e+01        9.42866034e-05
             6.48785069e-01      -2.27228534e-01      -3.62678969e-03       8.19764694e+01       1.23749949e+02       1.11157072e+02        9.42866034e-05
            -6.62594617e-01       1.99996831e+00      -3.59868495e+00       2.54740451e+01      -5.81339835e+01      -2.06827755e+01        9.42866034e-05
            -1.97109112e+00       6.68973751e-01       1.49297368e+00      -3.14861803e+01      -8.99542474e+01      -1.92061711e+01        9.42866034e-05
             1.40924139e-01      -4.02936391e-01       1.05524180e+00       1.75498364e+02       3.00450699e+01       2.31935466e+01        9.42866034e-05
             6.57340361e-01      -4.47271222e-02       7.61759750e-02      -1.16375502e+02       9.48656013e+01       1.35470647e+02        9.42866034e-05
            -2.31662591e-01       4.78391968e-01       1.00469571e+00      -1.64589769e+02       4.27583763e+01       1.87928039e+01        9.42866034e-05
             9.17627674e-01       3.98645220e-02      -2.56745046e-01       1.70845560e+01       3.72923733e+01       9.53958034e+01        9.42866034e-05
            -7.63857437e-01      -1.32568987e+00       2.54538200e+00       8.01093407e+00      -5.43455086e+01      -1.69673215e+00        9.42866034e-05
            -5.77238222e-02       1.29168030e+00       6.55848247e-01       2.24086948e+01       2.08473150e+01      -4.18892014e+01        9.42866034e-05
            -7.80589558e-01      -2.69791536e-01      -6.86869803e-02       1.60944388e+01      -1.48540602e+02       5.65748049e+01        9.42866034e-05
             8.53241742e-01       8.11238316e-01      -3.50752885e-02      -7.38110895e+01       1.42825521e+02      -6.76630224e+01        9.42866034e-05
             6.12810081e-01       5.95332418e-01       5.48682976e-01       9.66483771e+01      -8.71244510e+01      -4.00855008e+00        9.42866034e-05
             5.14670612e-01       1.30529906e+00       1.14885063e+00       5.55958703e+01      -2.47424757e+01      -9.00128831e+00        9.42866034e-05
            -1.82894816e-01       2.91694518e-01       1.78514608e+00      -8.15594538e+01      -6.06735849e+01       4.25837034e+01        9.42866034e-05
             6.35911505e-01      -6.89770306e-02       2.70415591e-01      -3.22364565e+00       2.07919766e+01      -1.69420728e+02        9.42866034e-05
             2.21781984e-01       1.98162523e-01       9.30297108e-01       8.49636171e+01      -7.04033557e+01      -3.69612805e+00        9.42866034e-05
             4.72405486e-01       6.17963942e-02       5.36567043e-02       1.05451251e+02       1.28032115e+02      -2.26786128e+01        9.42866034e-05
            -1.22173280e+00       3.32875123e-01       4.44559598e-01       7.91952263e+01       9.32838266e+00       3.34263800e+00        9.42866034e-05
            -3.73033639e+00      -1.99954856e+00       9.12120170e-01       4.05149614e+01      -2.25172529e+01      -5.49353114e+01        9.42866034e-05
            -5.16158060e-01      -8.01893308e-01      -1.22351778e+00       9.69349643e+01       4.20457559e+01      -6.47391143e+01        9.42866034e-05
            -1.44915684e+00       1.43790275e+00       1.08643249e+00      -6.78935575e+01      -3.62704788e+01       6.29342497e+01        9.42866034e-05
             1.39701492e+00      -6.41442293e-01       2.91195411e-01       5.57377244e+00      -1.32310304e+01      -6.98288262e+01        9.42866034e-05
            -1.13661399e+00       4.64859657e-01       5.60169966e-01       5.03920204e+01      -8.50637324e+01       1.61304659e+02        9.42866034e-05
             3.62456431e-01       3.01612017e-01       2.70619714e-01       4.84720893e+00       5.02557757e+01       2.41214452e+01        9.42866034e-05
             1.11452539e+00       6.63015090e-01      -2.61327038e+00      -1.00121572e+01      -4.39370258e+01      -7.24166152e+00        9.42866034e-05
             8.27227987e-01       3.06444629e+00      -5.24442673e-01       1.62788155e+01      -5.32799295e+01      -3.22966853e+01        9.42866034e-05
             2.90090983e-01      -2.68878118e-01       6.48829720e-01       1.66192686e+02      -2.44091229e+01      -8.59391535e+01        9.42866034e-05
            -1.55327508e-01      -7.24967044e-02       6.19305189e-01       8.43378852e+01      -1.52784846e+01      -1.45147063e+02        9.42866034e-05
            -1.72476842e+00       1.28210511e+00      -3.90894468e-01      -4.32195623e+01       2.76973796e+01       1.10238770e+02        9.42866034e-05
            -2.09776082e-01       5.41304278e-01      -2.20029314e-01       3.90731223e+01      -3.27229366e+01      -1.51827152e+01        9.42866034e-05
             2.45457348e-01       6.10194364e-01       5.71686294e-01       2.51584749e+01       4.52846837e+01      -3.18022537e+01        9.42866034e-05
            -1.51744459e+00       4.81282659e-01      -1.35968878e+00      -7.83357472e+01      -1.74329809e+01      -6.20424136e+01        9.42866034e-05
            -3.88649792e-01      -2.75286894e-01      -3.92745360e-01       8.51206746e+01      -1.21717165e+02       1.21742223e+02        9.42866034e-05
             8.18486570e-02      -1.75404288e-01       1.39167911e-01       6.95363265e+01      -1.02188645e+02      -1.24707785e+01        9.42866034e-05
             9.57465627e-01      -4.50586040e-01      -7.08500507e-02       2.18155528e+00       2.40663923e+01       6.74122749e+01        9.42866034e-05
             5.65264990e-01      -3.50611088e-02       4.75138172e-01      -1.34980854e+02       1.27623054e+02       5.18641279e+01        9.42866034e-05
             8.71257374e-01      -7.69947555e-02       6.65471347e-01       3.41954427e+01      -1.28845682e+01      -5.64843270e+01        9.42866034e-05
            -5.10095367e-01       4.98444056e-02      -1.00348055e+00      -7.24430984e+01      -1.10475461e+02      -5.96376236e+01        9.42866034e-05
             9.78436378e-01      -2.12563673e+00       1.68201833e-01       2.56459557e+01      -1.25661313e+01       1.58500358e+00        9.42866034e-05
            -6.88222756e-01      -3.99609055e-01       5.66440485e-01       4.86728604e+01      -7.30139662e+01       1.01570282e+01        9.42866034e-05
             1.99685287e+00       2.05771499e-01       5.13025741e-02      -1.93234672e-01      -5.65520543e+01       1.41588649e+01        9.42866034e-05
             1.93143679e-01       1.20853438e+00      -8.40456898e-01      -3.18515411e+00       7.38936737e+01      -9.22243409e+01        9.42866034e-05
            -1.13785813e+00      -5.32547414e-02      -7.00824768e-01      -2.72879251e+01      -1.59172157e+00       4.31924860e+01        9.42866034e-05
            -5.77442628e-01      -2.59265592e-01      -5.81669684e-01      -9.87375456e+01      -7.16592836e+00      -1.14285169e+02        9.42866034e-05
            -5.49896184e-01       6.02101290e-01       8.18432149e-01      -2.42016667e+01      -4.04959103e+00       5.41291364e+01        9.42866034e-05
            -4.38674759e-01       1.83009993e-01      -9.55672453e-01       1.21865592e+02       6.02768577e+01      -3.38349482e+01        9.42866034e-05
             8.44401109e-01      -8.26613327e-01       7.79868728e-01       3.91822021e+01       6.91871950e+01      -6.25251740e+01        9.42866034e-05
            -4.31498987e-01       1.21546918e+00      -6.63276292e-02      -9.91310348e+00      -6.18704535e+01      -9.39701404e+01        9.42866034e-05
             1.93735063e+00       1.92234284e+00       2.18222589e+00      -6.41247574e+01      -2.47633806e+01       6.76407406e+01        9.42866034e-05
             1.23932850e-02      -1.72727256e-01       1.58829961e+00      -1.79066350e+00       2.17556639e+01      -4.19944384e+01        9.42866034e-05
             1.49326314e-01       5.61600273e-02      -2.46520848e+00      -1.06858690e+02       6.47601745e+01      -6.18553436e+00        9.42866034e-05
             3.11211811e+00       2.25969379e-01       1.71766543e+00       8.21826030e+01      -5.17075632e+01      -3.39376850e+01        9.42866034e-05
             2.23622667e-01       3.70647491e-02       1.81341589e-01      -9.96430278e+01       5.39773590e+01      -8.72645579e+01        9.42866034e-05
             1.17128398e-01       1.80521471e-03      -4.47147094e-01      -4.28263899e+01       1.52133041e+01      -6.32110615e+01        9.42866034e-05
            -1.06213084e+00       8.21505080e-01       2.59581860e+00      -1.43544765e+01      -1.33132009e+01       7.65076144e+01        9.42866034e-05
            -2.06435840e+00       1.57137767e+00       1.68803375e+00      -1.68453559e+01      -4.40775034e+01       2.01363821e+01        9.42866034e-05
            -8.13875588e-01       1.29642742e+00       8.51170938e-02       2.84055188e+01       7.51461791e+01      -4.54856638e+01        9.42866034e-05
             1.44484980e+00       2.14741764e-01      -1.12553991e+00       6.87040924e+00       1.21542282e+02      -3.39830504e+01        9.42866034e-05
             5.29826661e-02       8.61143722e-01      -2.23838015e-01       5.24946727e+00       5.98592259e+01       1.56586716e+01        9.42866034e-05
             3.76847015e-01      -3.12686067e-01       3.62043456e-01       1.30485191e+02       1.64570430e+01      -6.70735730e+01        9.42866034e-05
             1.15646917e+00      -9.14879978e-01       5.86314323e-02      -5.90776868e+01       1.79066045e+01      -5.45160828e+00        9.42866034e-05
